Cycles,Cores,Benchmark,Spin Frequency,Injection Rate,Average Latency
1000000,64,bit_complement,8192,0.02000,    21.167047                      
1000000,64,bit_complement,8192,0.04000,    21.415001                      
1000000,64,bit_complement,8192,0.06000,    21.792758                      
1000000,64,bit_complement,8192,0.08000,    22.348739                      
1000000,64,bit_complement,8192,0.10000,    23.238029                      
1000000,64,bit_complement,8192,0.12000,    25.324896                      
1000000,64,bit_complement,8192,0.14000, 44798.369601                      
1000000,64,bit_complement,8192,0.16000, 38360.015337                      
1000000,64,bit_complement,8192,0.38000, 43029.484321                      
1000000,64,bit_complement,8192,0.40000, 30822.564646                      
1000000,64,neighbor,1024,0.02000,     8.531613                      
1000000,64,neighbor,1024,0.04000,     8.531125                      
1000000,64,neighbor,1024,0.06000,     8.532864                      
1000000,64,neighbor,1024,0.08000,     8.533112                      
1000000,64,neighbor,1024,0.10000,     8.533719                      
1000000,64,neighbor,1024,0.12000,     8.534029                      
1000000,64,neighbor,1024,0.14000,     8.533576                      
1000000,64,neighbor,1024,0.16000,     8.534108                      
1000000,64,neighbor,1024,0.18000,     8.534729                      
1000000,64,neighbor,1024,0.20000,     8.535221                      
1000000,64,neighbor,1024,0.22000,     8.535725                      
1000000,64,neighbor,1024,0.24000,     8.537281                      
1000000,64,neighbor,1024,0.26000,     8.538780                      
1000000,64,neighbor,1024,0.28000,     8.540947                      
1000000,64,neighbor,1024,0.30000,     8.543315                      
1000000,64,neighbor,1024,0.32000,     8.546320                      
1000000,64,neighbor,1024,0.34000,     8.550260                      
1000000,64,neighbor,1024,0.36000,     8.554398                      
1000000,64,neighbor,1024,0.38000,     8.560362                      
1000000,64,neighbor,1024,0.40000,     8.567632                      
1000000,64,neighbor,2048,0.02000,     8.513859                      
1000000,64,neighbor,2048,0.04000,     8.513655                      
1000000,64,neighbor,2048,0.06000,     8.515568                      
1000000,64,neighbor,2048,0.08000,     8.515921                      
1000000,64,neighbor,2048,0.10000,     8.516527                      
1000000,64,neighbor,2048,0.12000,     8.516896                      
1000000,64,neighbor,2048,0.14000,     8.516529                      
1000000,64,neighbor,2048,0.16000,     8.517068                      
1000000,64,neighbor,2048,0.18000,     8.517665                      
1000000,64,neighbor,2048,0.20000,     8.518095                      
1000000,64,neighbor,2048,0.22000,     8.518518                      
1000000,64,neighbor,2048,0.24000,     8.519994                      
1000000,64,neighbor,2048,0.26000,     8.521387                      
1000000,64,neighbor,2048,0.28000,     8.523412                      
1000000,64,neighbor,2048,0.30000,     8.525627                      
1000000,64,neighbor,2048,0.32000,     8.528389                      
1000000,64,neighbor,2048,0.34000,     8.532180                      
1000000,64,neighbor,2048,0.36000,     8.536048                      
1000000,64,neighbor,2048,0.38000,     8.541789                      
1000000,64,neighbor,2048,0.40000,     8.548710                      
1000000,64,neighbor,256,0.02000,     8.639330                      
1000000,64,neighbor,256,0.04000,     8.636665                      
1000000,64,neighbor,256,0.06000,     8.637655                      
1000000,64,neighbor,256,0.08000,     8.637126                      
1000000,64,neighbor,256,0.10000,     8.637203                      
1000000,64,neighbor,256,0.12000,     8.637156                      
1000000,64,neighbor,256,0.14000,     8.636380                      
1000000,64,neighbor,256,0.16000,     8.636880                      
1000000,64,neighbor,256,0.18000,     8.637540                      
1000000,64,neighbor,256,0.20000,     8.638303                      
