Cycles,Cores,Benchmark,Spin Frequency,Injection Rate,Average Latency
100000,256,tornado,1024,0.14000,  1285.124463                      
100000,256,tornado,131072,0.14000,  1277.814139                      
100000,256,tornado,256,0.14000,  1340.104562                      
100000,256,tornado,512,0.14000,  1295.478655                      
100000,256,transpose,131072,0.14000,  1087.178611                      
100000,256,transpose,2048,0.14000,  1094.689164                      
100000,256,uniform_random,1024,0.14000,  4765.807126                      
100000,256,uniform_random,256,0.14000, 12527.241681                      
100000,256,uniform_random,512,0.14000,  1665.147450                      
100000,64,bit_complement,1024,0.14000,  8382.654484                      
100000,64,bit_complement,131072,0.14000,    40.488693                      
100000,64,bit_complement,16284,0.14000, 17689.285772                      
100000,64,bit_complement,2048,0.14000, 15333.810453                      
100000,64,bit_complement,256,0.14000,  2172.844673                      
100000,64,bit_complement,32768,0.14000, 17341.188258                      
100000,64,bit_complement,4096,0.14000, 19315.815768                      
100000,64,bit_complement,512,0.14000,  3310.433522                      
100000,64,bit_complement,65536,0.14000, 20453.870578                      
100000,64,bit_complement,8192,0.14000, 24270.047166                      
100000,64,bit_reverse,1024,0.14000,    16.282466                      
100000,64,bit_reverse,131072,0.14000,    16.215641                      
100000,64,bit_reverse,16284,0.14000,    16.219830                      
100000,64,bit_reverse,2048,0.14000,    16.249073                      
100000,64,bit_reverse,256,0.14000,    16.478030                      
100000,64,bit_reverse,32768,0.14000,    16.216763                      
100000,64,bit_reverse,4096,0.14000,    16.231616                      
100000,64,bit_reverse,512,0.14000,    16.345837                      
100000,64,bit_reverse,65536,0.14000,    16.217142                      
100000,64,bit_reverse,8192,0.14000,    16.220792                      
100000,64,bit_rotation,1024,0.14000,    13.406435                      
100000,64,bit_rotation,131072,0.14000,    13.353757                      
100000,64,bit_rotation,16284,0.14000,    13.356328                      
100000,64,bit_rotation,2048,0.14000,    13.378589                      
100000,64,bit_rotation,256,0.14000,    13.566686                      
100000,64,bit_rotation,32768,0.14000,    13.355592                      
100000,64,bit_rotation,4096,0.14000,    13.364047                      
100000,64,bit_rotation,512,0.14000,    13.459146                      
100000,64,bit_rotation,65536,0.14000,    13.353334                      
100000,64,bit_rotation,8192,0.14000,    13.357982                      
100000,64,neighbor,1024,0.14000,     8.535004                      
100000,64,neighbor,131072,0.14000,     8.501615                      
100000,64,neighbor,16284,0.14000,     8.503830                      
100000,64,neighbor,2048,0.14000,     8.518009                      
100000,64,neighbor,256,0.14000,     8.638340                      
100000,64,neighbor,32768,0.14000,     8.502659                      
100000,64,neighbor,4096,0.14000,     8.509786                      
100000,64,neighbor,512,0.14000,     8.569751                      
100000,64,neighbor,65536,0.14000,     8.501959                      
100000,64,neighbor,8192,0.14000,     8.505843                      
100000,64,tornado,1024,0.14000,    12.899457                      
100000,64,tornado,131072,0.14000,    12.844375                      
100000,64,tornado,16284,0.14000,    12.848103                      
100000,64,tornado,2048,0.14000,    12.872118                      
100000,64,tornado,256,0.14000,    13.067908                      
100000,64,tornado,32768,0.14000,    12.845919                      
100000,64,tornado,4096,0.14000,    12.856835                      
100000,64,tornado,512,0.14000,    12.955573                      
100000,64,tornado,65536,0.14000,    12.844685                      
100000,64,tornado,8192,0.14000,    12.851236                      
100000,64,transpose,1024,0.14000,    16.421333                      
100000,64,transpose,131072,0.14000,    16.361215                      
100000,64,transpose,16284,0.14000,    16.365275                      
100000,64,transpose,2048,0.14000,    16.392760                      
100000,64,transpose,256,0.14000,    16.597099                      
100000,64,transpose,32768,0.14000,    16.363674                      
100000,64,transpose,4096,0.14000,    16.375622                      
100000,64,transpose,512,0.14000,    16.482502                      
100000,64,transpose,65536,0.14000,    16.361950                      
100000,64,transpose,8192,0.14000,    16.368847                      
100000,64,uniform_random,1024,0.14000,    16.331283                      
100000,64,uniform_random,131072,0.14000,    16.258239                      
100000,64,uniform_random,16284,0.14000,    16.264324                      
100000,64,uniform_random,2048,0.14000,    16.294162                      
100000,64,uniform_random,256,0.14000,    16.551178                      
100000,64,uniform_random,32768,0.14000,    16.262369                      
100000,64,uniform_random,4096,0.14000,    16.278728                      
100000,64,uniform_random,512,0.14000,    16.401966                      
100000,64,uniform_random,65536,0.14000,    16.260417                      
100000,64,uniform_random,8192,0.14000,    16.269578                      
1000000,64,bit_complement,1024,0.14000, 10716.556234                      
1000000,64,bit_complement,131072,0.14000, 62493.058280                      
1000000,64,bit_complement,16284,0.14000, 70819.420686                      
1000000,64,bit_complement,2048,0.14000, 18012.358715                      
1000000,64,bit_complement,256,0.14000,  2992.195771                      
1000000,64,bit_complement,32768,0.14000, 98381.994748                      
1000000,64,bit_complement,4096,0.14000, 28751.459296                      
1000000,64,bit_complement,512,0.14000,  4514.558681                      
1000000,64,bit_complement,65536,0.14000, 105344.155607                      
1000000,64,bit_complement,8192,0.14000, 45405.022820                      
1000000,64,bit_reverse,1024,0.14000,    16.276128                      
1000000,64,bit_reverse,131072,0.14000,    16.210621                      
1000000,64,bit_reverse,16284,0.14000,    16.213418                      
1000000,64,bit_reverse,2048,0.14000,    16.242264                      
1000000,64,bit_reverse,256,0.14000,    16.472959                      
1000000,64,bit_reverse,32768,0.14000,    16.211751                      
1000000,64,bit_reverse,4096,0.14000,    16.226238                      
1000000,64,bit_reverse,512,0.14000,    16.340653                      
1000000,64,bit_reverse,65536,0.14000,    16.211263                      
1000000,64,bit_reverse,8192,0.14000,    16.217445                      
